Metric,Value
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.2
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.2
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00000422248
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00000208736
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,2.4908E-8
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00000208736
design_powergrid__voltage__worst,0.00000208736
design_powergrid__voltage__worst__net:VPWR,1.2
design_powergrid__drop__worst,0.00000422248
design_powergrid__drop__worst__net:VPWR,0.00000422248
design_powergrid__voltage__worst__net:VGND,0.00000208736
design_powergrid__drop__worst__net:VGND,0.00000208736
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,3.93000000000000011862161101473811530837565442197956144809722900390625E-8
ir__drop__worst,0.00000422000000000000025372932921374768966416013427078723907470703125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
